HGNC symbol	EntrezGene ID
RN7SL806P	
COX6CP13	
RNU4-55P	
RNA5SP508	
RNA5-8SP7	
SNORD118	727676
KIR2DL1	3802
MIR5100	100847014
MIR8073	102465872
EMILIN3	90187
RNU6-975P	
RNU6-1328P	
MIR4283-1	100422917
USP9YP30	
RN7SL689P	
RNU6-900P	
RNU6-853P	
RN7SL262P	
MIR4654	100616386
RNA5SP473	
MIR6784	102465470
MIR4635	100616479
TMTC1	83857
MIR5691	100847015
RNU6-584P	
MIR6129	102465137
RNA5SP262	
MIR4650-2	100616331
RNA5SP373	
MIR4509-1	100616223
MIR138-2	406930
MIR27B	407019
MIR6088	102464836
RN7SL93P	
MIR1263	100302148
RNA5SP222	
RNU6-120P	
RN7SL606P	
ZNF83	55769
RNA5SP18	
RNU6-526P	
SNORD95	619570
RNY1P2	
RNU7-188P	
RNU6-1195P	
RNA5SP292	
RNU2-25P	
WWC2-AS2	152641
RNU4-5P	
MIR6806	102465484
RPL7P25	
LINC01563	101060544
SERBP1P4	
VN1R84P	
MDC1-AS1	106478956
RNA5SP208	
MOGAT1	116255
MIR4435-1	100616499
	102725079
MIR191	406966
FRG1BP	
MYL12BP1	
SNORD115-26	100033802
	641367
RNU6-1064P	
OR2H5P	
CASK-AS1	
BNIP3P37	
ZRANB1	54764
MIR3689D1	100616131
RPS3P7	
RBM12B-AS1	55472
SNORA7B	677797
OR1C1	26188
SNORD56	26793
TMEM151B	441151
COL10A1	1300
HSP90AB2P	
PPOX	5498
FDPSP7	
RN7SL240P	
HNRNPA1P55	
ZBTB47	92999
	105377443
LINC01504	100507540
KANSL1-AS1	644246
KANSL1-AS1	107984142
SUMO2P7	
RN7SL666P	
GCNT6	
TMEM179	388021
RNA5SP70	
RNA5SP86	
RNU6-246P	
GRM6	2916
IGLVI-38	
RNU6-35P	
PSMC1P10	
SEMA3B-AS1	101928931
FZD2	2535
B9D2	80776
KSR1P1	
RBMY2YP	
SSTR4	6754
MIR325	442899
SNORD32B	692092
UBIAD1	29914
ETF1P1	
SNORD115-39	100033813
MIR4695	100616120
TAAR3	9288
RN7SL5P	
NOTCH2P1	
MIRLET7A1	406881
FAM170A	340069
HEG1	57493
RN7SKP110	
RN7SL799P	
MIR3120	100422882
RPL7P53	
SRGAP2C	653464
SCARA5	286133
SNORD54	26795
BMPR1B-AS1	
LHX2	9355
MIR1224	100187716
IGHV3-64	
RPS4XP16	
MIR7848	102466865
RNA5SP231	
SLAMF8	56833
IFNL4	101180976
RN7SL215P	
RNA5SP157	
RNU6-552P	
PRB2	653247
LINC01094	
OR9H1P	
RNU6-833P	
ZNF737	100129842
RNA5SP275	
RNU1-15P	
MAP2K4P1	139201
SNORD43	26807
TMSB4XP2	
RNU6-574P	
IGHJ2	
RNU6-144P	
SNORD30	9299
RPS24P18	
ZNF680	340252
MIR4505	100616158
CEACAM4	1089
RNA5SP393	
HSPA1L	3305
MIR1228	100302201
MIR580	693165
EFHD2	79180
UBQLN4P2	
RBM12B	389677
CGB3	1082
RNU6-550P	
GNAI2P1	
KIR3DS1	3811
MIR548AH	100616254
TARM1	441864
ZNF600	162966
	105375297
ANKRD49	54851
EFHB	151651
MIR6770-2	102465908
ZSCAN29	146050
RNU6-365P	
MIR6830	102465498
GPSM3	63940
HLA-DOA	3111
RNA5SP92	
MIR584	693169
FAM180A	389558
RN7SKP181	
RNU6-798P	
GDF15	9518
OTUD3	23252
RNU5A-5P	
RNU6-1101P	
RNU6-453P	
RNU6-1005P	
RNU2-64P	
MIR8069-2	103504736
BEGAIN	57596
MIR491	574444
EFNA4	1945
MIR302D	442896
NDUFB9P2	
RNU6-255P	
RNU6-272P	
ARHGAP42P2	
SNORD114-23	767603
NCKAP1	10787
FOXK1	221937
BUD31	8896
RN7SKP20	
MIR1291	100302221
CEL	1056
RN7SL346P	
RNU6-416P	
RNU6-1301P	
MIR320D2	100302169
RN7SL567P	
RNU6-971P	
MIR4503	100616280
IGLV5-37	
TUBB1	81027
POLR3GP2	
RNU6-945P	
RNU6-1056P	
RNU6-700P	
MIPEPP2	
PRCD	768206
REG3G	130120
RNU6-175P	
RNA5SP62	
LINC01222	
RNU6-1206P	
RNU7-155P	
SNORD114-4	
RAB3IL1	5866
RN7SL222P	
RN7SL860P	
RNU7-41P	
EIF1	10209
FRY-AS1	
SNORD4B	26772
RN7SL271P	
SOX15	6665
MIR548AT	100847030
MIR4760	100616148
PGM2	55276
VDAC2P4	
MPPED2	744
SNORD116-19	
SPRY4-IT1	100642175
RN7SKP288	
SDF2	6388
RNA5SP301	
RNU6-865P	
DCTN5	84516
RPPH1-3P	
GP6	51206
RPL18AP16	
C7orf73	647087
DAZ3	57054
MIR4284	100422948
RNU6-737P	
GBX2	2637
EZR	7430
HNRNPDP1	
RNU7-13P	
PTGES3L	100885848
IGBP1P5	
RNA5SP430	
HMGN2P34	
KRTAP19-10P	
IGHVII-53-1	
RNU6-884P	
IGHV7-56	
RNU6-563P	
RNU6-315P	
CEP135	9662
RNU6-127P	
WDPCP	51057
RNU1-31P	
IGHV4-59	
	100379224
SNORA81	677847
RNU6-876P	
RNU7-9P	
ZNF529-AS1	101927599
RNU6-229P	
RN7SL415P	
TCEB1P20	
